NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET_CAP,E_VALUE,PRICE,H_REV_GROWTH,H_EPS_GROWTH,H_FCF_GROWTH,H_OP_MARGIN,H_FCF_MARGIN,H_ORGANIC,H_INORGANIC,H_DIVIDENDS,H_REPURCHASES,H_DEBT_AMORTIZATION,H_ROIC,H_DEBT_NET_EBITDA,H_PER,H_EVFCF,H_MAX_DROP,H_CAGR,C_OP_MARGIN,C_FCF_MARGIN,C_ORGANIC,C_INORGANIC,C_DIVIDENDS,C_REPURCHASES,C_DEBT_AMORTIZATION,C_ROIC,C_DEBT_NET_EBIDA,C_PER,C_EVFCF,C_DROP,E_REV_GROWTH,E_EPS_GROWTH,E_FCF_GROWTH,E_OP_MARGIN,E_FCF_MARGIN,E_DEBT_NET_EBITDA,E_PER,E_EVFCF,PRICE_PESIMIST,CY_MOS_PESIMIST,OY_MOS_PESIMIST,5Y_CAGR_PESIMIST,PRICE_NEUTRAL,CY_MOS_NEUTRAL,OY_MOS_NEUTRAL,5Y_CAGR_NEUTRAL,MARGIN,ROIC,M&R,FILTRO_PERMISIVO,PER,FCF,DEBT,RIESGO,OPORTUNIDADES
Alphabet Inc,GOOGL,US,Technology,"Digital Advertising, Cloud Computing, AI","2.119.942,89","2.052.422,89","173,02","0,19","0,28","0,27","0,26","0,21","0,36","0,04","0,01","0,59","0,01","0,29",-2,23,24,"-0,44","0,20","0,33","0,27","0,39","0,03","0,08","0,65","0,00","0,34","-0,6",20,19,"-0,16","0,11","0,14","0,13","0,34","0,28","-0,6",25,25,"319,00","0,05","0,85","0,13","407,00","0,28","1,35","0,19",GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,S/R,SUPEROPORTUNIDAD
ASML Holding NV,ASML,NL,Technology,Semiconductors,"285.966,42","277.668,97","731,74","0,19","0,22","0,32","0,29","0,31","0,14","0,20","0,28","0,33","0,01","0,26","-0,5",27,27,"-0,46","0,22","0,32","0,24","0,17","0,00","0,36","0,07","0,00","0,33","-0,9",28,22,"-0,33","0,12","0,18","0,26","0,37","0,38","-0,9",27,27,"1.437,76","0,09","0,96","0,14","1.610,46","0,22","1,24","0,17",,ASML,,ASML,,ASML,ASML,S/R,OPORTUNIDAD
Markel Group Inc,MKL,US,Financial,Insurance,"24.275,14","26.781,70","1.903,00","0,14","0,20",,"0,12",,,,,,,"0,08","2,4",24,"1,4","-0,30","0,09","0,22",,,,,,,"0,16","2,5",8,"1,5","-0,28","0,11","0,06",,"0,20",,,15,"1,4","3.057,00","0,25","0,81","0,10","3.821,00","0,40","1,00","0,15",MKL,,,MKL,MKL,,,S/R,MANTENER
Meta Platforms Inc,META,US,Technology,"Digital Advertising, AI","1.263.271,30","1.635.225,30","648,00","0,29","0,45","0,39","0,40","0,33","0,39","0,02","0,01","0,54","0,01","0,29","-1,4",23,29,"-0,75","0,23","0,41","0,39","0,34","0,00","0,08","0,69","0,00","0,30","-0,6",27,26,"-0,12","0,13","0,14","0,13","0,41","0,37","-0,6",25,25,"1.150,00","-0,01","0,77","0,12","1.283,00","0,01","0,98","0,15",META,META,META,META,,,META,S/R,MANTENER
Microsoft Corporation,MSFT,US,Technology,"Enterprise Software, Cloud Computing, AI","2.981.175,56","3.012.529,56","401,02","0,11","0,27","0,25","0,36","0,31","0,16","0,33","0,38","0,49","0,09","0,55","-1,1",30,34,"-0,37","0,25","0,45","0,40","0,30","0,71","0,22","0,18","0,00","0,29","-0,2",30,27,"-0,14","0,14","0,18","0,14","0,47","0,39","-0,2",30,30,"664,00","0,01","0,64","0,11","793,00","0,10","0,98","0,15",MSFT,,,MSFT,,MSFT,MSFT,S/R,OPORTUNIDAD
Nvidia Corporation,NVDA,US,Technology,Semiconductors,"2.862.120,00","2.829.180,00","113,50","0,50","0,98","1,00","0,34","0,25","0,08","0,21","0,11","0,76","0,04","0,56","-1,4",39,40,"-0,65","0,71","0,62","0,45","0,03","0,02","0,01","0,69","0,02","1,28","-0,4",27,30,"-0,24","0,22","0,21","0,24","0,59","0,48","-0,4",30,30,"164,00","-0,15","0,45","0,08","224,00","0,01","0,97","0,14",NVDA,NVDA,NVDA,NVDA,NVDA,,NVDA,S/R,OPORTUNIDAD
Airbus SE,AIR,FR,Aerospace and Defense,Commercial Aviation,"147.190,99","142.484,76","188,90","0,02","0,12","0,18","0,05","0,08","0,40","0,05","0,48","0,22","0,21","0,07","-0,7",20,25,"-0,65","0,11","0,07","0,09","0,25","0,04","0,34","0,04","0,07","0,11","-0,9",18,22,"-0,03","0,11","0,23","0,14","0,11","0,10","-0,9",20,20,"310,87","0,00","0,64","0,11","354,04","0,14","0,88","0,13",AIR,,,AIR,AIR,,AIR,S/R,OPORTUNIDAD
Adidas AG,ADS,DE,Consumer Discretionary,Sport Apparel,"45.560,39","49.283,25","261,86","0,04","0,10","0,11","0,07","0,06","0,18","0,04","0,27","0,27","0,29","0,11","0,1",22,23,"-0,72","0,12","0,06","0,06","0,00","0,00","0,08","0,02","0,77","0,09","-0,01",22,35,"-0,30","0,09","0,09","0,17","0,11","0,07","0,1",25,25,"311,95","-0,44","0,19","0,04","472,78","-0,29","0,81","0,13",,,,,ADS,,,LEVE,VENTA TOTAL
Carrefour SA,CA,FR,Retail,,"9.082,54","26.841,59","14,03","0,01","0,01","0,08","0,03","0,02","0,20","0,23","0,19","0,20","0,39","0,06","2,1",10,10,"-0,32","-0,09","0,02","0,04","0,00","0,42","0,18","0,21","0,00","0,05","2,1",5,8,"-0,39","0,02","0,04","-0,03","0,03","0,03","2,1",10,10,"16,62","-0,04","0,19","0,03","25,91","0,51","0,86","0,13",,,,,CA,CA,,S/R,VENTA TOTAL
Ashtead Group plc,AHT,GB,Financial,Leasing,"25.671,75","36.668,25","59,12","0,21","0,25",,"0,22",,,,,,,"0,27","2,1",15,4,"-0,45","0,15","0,19",,,,,,,"0,23","2,1",12,"3,35","-0,31","0,05","0,09",,"0,20",,,15,"2,5","77,32","0,03","0,77","0,06","105,67","0,21","1,00","0,12",,,,,AHT,,,S/R,VENTA TOTAL
Moncler SPA,MONC,IT,Luxury Goods,,"18.653,04","18.237,81","69,64","0,16","0,16","0,15","0,29","0,19","0,08","0,13","0,29","0,07","0,34","0,19","-0,09",25,26,"-0,46","0,15","0,30","0,16","0,13","0,00","0,61","0,00","0,00","0,14","-1,3",25,20,"-0,08","0,09","0,08","0,13","0,30","0,20",-1,25,25,"96,07","-0,04","0,38","0,07","125,21","0,26","0,80","0,12",,,,,,MONC,MONC,S/R,VENTA TOTAL
Amazon Inc,AMZN,US,Technology,"Cloud Computing, Ecommerce, AI","2.208.143,89","2.262.341,89","208,30","0,22","0,60","0,60","0,05","0,06","0,49","0,44","0,00","0,09","0,57","0,22","-0,6",65,37,"-0,54","0,27","0,11","0,11","0,37","0,10","0,00","0,00","0,17","0,25","-0,3",35,33,"-0,14","0,10","0,14","0,16","0,14","0,13","-0,3",30,30,"283,00","-0,27","0,36","0,06","360,00","-0,10","0,73","0,12",AMZN,AMZN,AMZN,AMZN,,,AMZN,LEVE,MANTENER
Unilever PLC,ULVR,GB,Consumer Staple,,"149.214,73","177.975,31","58,24","0,02","0,07","0,30","0,17","0,13","0,05","0,26","0,67","0,40","0,05","0,17","1,8",19,19,"-0,28","0,05","0,18","0,20","0,03","0,07","0,36","0,13","0,00","0,16","1,8",14,16,"-0,09","0,04","0,05","-0,02","0,19","0,14","1,8",20,20,"86,34","0,12","0,48","0,08","96,65","0,27","0,67","0,11",ULVR,,,ULVR,ULVR,ULVR,,S/R,MANTENER
Mapfre SA,MAP,ES,Financial,Insurance,"9.025,51","11.558,86","2,91","0,05","0,06",,"0,07",,,,,,,"0,11","5,4",8,"0,8","-0,54","0,00","0,07",,,,,,,"0,16","4,70",5,"0,96","-0,03","0,03","0,02",,"0,07",,,7,"0,9","3,67","0,18","0,62","0,05","4,90","0,37","0,83","0,11",MAP,MAP,MAP,MAP,MAP,,,S/R,MANTENER
Industria de Diseño Textil SA,ITX,ES,Manufacturing,Apparel,"168.640,78","162.545,41","54,68","0,09","0,21","0,25","0,16","0,14","0,10","0,00","0,49","0,01","0,28","0,23","-1,4",25,25,"-0,38","0,13","0,19","0,17","0,00","0,00","0,62","0,00","0,29","0,27","-1,3",26,23,"-0,10","0,08","0,09","0,07","0,20","0,16","-1,4",25,25,"74,48","0,00","0,36","0,06","87,43","0,17","0,59","0,10",ITX,ITX,ITX,ITX,,ITX,ITX,S/R,OPORTUNIDAD
LVMH Moët Hennesy Louis Vuitton Société Européenne,MC,FR,Luxury Goods,,"358.072,99","389.877,51","722,99","0,11","0,19","0,11","0,22","0,12","0,10","0,34","0,50","0,05","0,26","0,16","0,5",23,23,"-0,35","0,15","0,22","0,11","0,00","0,05","0,81","0,00","0,33","0,15","0,6",23,27,"-0,26","0,08","0,14","0,19","0,26","0,16","0,5",25,25,"1.012,48","-0,16","0,40","0,07","1.104,23","-0,08","0,53","0,09",,,,,MC,,,LEVE,VENTA TOTAL
Mastercard Incorporated,MA,US,Technology,Payment Network,"510.585,14","520.192,14","549,66","0,13","0,19","0,15","0,56","0,45","0,05","0,14","0,19","0,80","0,00","0,50","0,1",30,30,"-0,28","0,20","0,58","0,50","0,02","0,18","0,17","0,80","0,00","0,55","0,5",34,35,"-0,04","0,12","0,14","0,11","0,59","0,48","0,2",30,30,"799,00","-0,22","0,40","0,08","856,00","-0,13","0,56","0,09",MA,MA,MA,MA,,,,LEVE,MANTENER
Brunello Cucinelli,BC,IT,Luxury Goods,,"8.832,30","9.612,70","129,96","0,14","0,13","-0,05","0,13","0,06","0,20","0,02","0,76","0,02","1,22","0,11","0,5",43,53,"-0,36","0,22","0,17","0,02","0,00","0,00","1,96","0,16","2,33","0,11","0,2",57,73,"-0,12","0,10","0,16","0,11","0,17","0,08","0,2",40,40,"92,83","-0,46","-0,20","-0,04","189,97","0,02","0,47","0,08",,,,BC,,,,S/R,MANTENER
Lululemon Athletica Inc,LULU,US,Consumer Discretionary,Consumer Discretionary,"42.432,07","42.757,75","248,70","0,21","0,29","0,38","0,20","0,13","0,25","0,08","0,00","0,65","0,00","0,25","-1,1",30,40,"-0,54","0,18","0,23","0,20","0,14","0,00","0,00","0,30","0,00","0,28","-0,9",26,30,"-0,31","0,09","0,10","0,05","0,23","0,15","-0,9",25,25,"370,00","-0,33","0,06","0,03","500,00","-0,15","0,43","0,07",LULU,LULU,LULU,LULU,,,LULU,LEVE,MANTENER
Fairfax Financial Holding Limited,FFH,CA,Financial,Insurance,"30.718,44","37.300,20","1.432,52","0,17","0,23",,"0,10",,,,,,,"0,09","2,7",25,1,"-0,54","0,12","0,16",,,,,,,"0,15","2,4",12,"1,4","-0,02","0,07","0,06",,"0,14",,,12,"1,5","1.570,83","-0,09","0,37","0,02","1.975,25","0,00","0,52","0,07",FFH,FFH,FFH,FFH,,,,LEVE,MANTENER
JPMorgan Chase & Company,JPM,US,Financial,Consumer Bank,"689.352,00",,"248,11","0,08","0,10",,"0,40",,,,,,,"0,13","10,1",12,"1,6","-0,44","0,15","0,45",,,,,,,"0,17","10,6",12,"2,1","-0,13","0,08","0,07",,"0,39",,,12,"1,6","308,00","-0,10","-0,37","0,04","355,00","-0,05","0,56","0,07",,JPM,,JPM,,,,LEVE,MANTENER
Nike Inc,NKE,US,Consumer Discretionary,Sport Apparel,"115.090,86","117.394,86","77,00","0,06","0,20","0,15","0,13","0,10","0,08","0,00","0,39","1,00","0,03","0,25","-0,4",29,29,"-0,51","0,05","0,13","0,13","0,00","0,00","0,33","0,64","0,00","0,23","-0,3",33,29,"-0,56","0,04","0,06","0,01","0,10","0,08","-0,3",25,25,"104,00","-0,13","0,45","0,06","104,00","-0,13","0,45","0,06",,,,,,,NKE,LEVE,VENTA TOTAL
Nestlé SA,NESN,CH,Consumer Staple,Food Industry,"261.315,85","325.238,74","99,31","0,00","0,04","0,17","0,17","0,11","0,20","0,24","0,80","0,56","0,03","0,13","1,6",21,24,"-0,39","0,02","0,17","0,12","0,25","0,07","0,70","0,40","0,00","0,12","2,8",20,25,"-0,31","0,04","0,07","0,03","0,17","0,12","2,5",25,25,"104,15","-0,18","0,05","0,01","129,06","0,02","0,30","0,05",NESN,,,NESN,NESN,,,S/R,MANTENER
Apple Inc,AAPL,US,Technology,Mobile Devices,"3.541.303,49","3.496.734,49","234,50","0,06","0,13","0,09","0,28","0,24","0,02","0,01","0,21","0,96","0,03","0,44","0,4",26,25,"-0,37","0,22","0,32","0,25","0,00","0,00","0,16","1,00","0,06","0,66","0,4",31,30,"-0,09","0,06","0,15","0,11","0,34","0,29","0,4",25,25,"282,00","-0,18","0,20","0,04","304,00","-0,18","0,30","0,05",AAPL,AAPL,AAPL,AAPL,,,,ALTO,VENTA PARCIAL
Visa Inc,V,US,Technology,Payment Network,"688.987,44","696.166,41","346,36","0,11","0,18","0,14","0,66","0,49","0,02","0,17","0,21","0,79","0,06","0,24","0,2",25,25,"-0,29","0,18","0,67","0,49","0,02","0,05","0,24","0,95","0,00","0,35","0,2",32,32,"-0,04","0,11","0,12","0,10","0,68","0,55","0,2",25,25,"443,00","-0,22","0,28","0,05","443,00","-0,22","0,28","0,05",V,V,V,V,,,,ALTO,VENTA PARCIAL
Starbucks Corporation,SBUX,US,Restaurant Industry,Coffee Shops,"126.872,15","148.825,95","110,00","0,08","0,26","0,50","0,14","0,13","0,19","0,03","0,71","1,15","0,05","0,26","1,3",27,30,"-0,43","0,09","0,15","0,10","0,34","0,00","0,75","0,40","0,00","0,21","1,8",36,38,"-0,15","0,07","0,14","0,14","0,16","0,11","1,6",25,25,"137,00","-0,37","0,24","0,04","137,00","-0,37","0,24","0,04",,,,,,,,ALTO,VENTA PARCIAL
The Goldman Sachs Group Inc,GS,US,Financial,Consumer Bank,"184.964,25",,"580,59","0,06","0,31",,"0,32",,,,,,,"0,10","10,7",10,"1,2","-0,32","0,12","0,35",,,,,,,"0,12","12,7",10,"1,7","-0,19","0,05","0,09",,"0,36",,,10,"1,2","594,00","-0,21","0,24","0,01","660,00","-0,17","0,30","0,03",GS,GS,GS,GS,,,,ALTO,VENTA PARCIAL
ServiceNow,NOW,US,Technology,Enterprise Software,"188.652,74","181.057,74","890,00","0,32","0,49","0,55","0,01","0,13","0,32","0,28","0,00","0,95","0,24","-0,14",-2,55,45,"-0,50","0,28","0,13","0,21","0,18","0,05","0,00","0,59","0,00","0,14","-2,2",119,77,"-0,24","0,20","0,20","0,13","0,16","0,13",-2,40,40,"538,00","-0,72","-0,40","-0,10","1.026,00","-0,47","0,15","0,03",NOW,,,NOW,,,NOW,ALTO,VENTA PARCIAL
McDonalds Corporation,MCD,US,Restaurant Industry,,"229.549,22","280.418,22","307,00","0,01","0,12","0,10","0,40","0,27","0,05","0,05","0,63","0,82","0,01","0,19","2,8",23,25,"-0,17","0,13","0,46","0,32","0,07","0,08","0,58","0,34","0,01","0,20","2,7",24,25,"-0,03","0,05","0,08","0,06","0,47","0,36","2,8",25,25,"306,00","-0,28","0,00","0,00","339,00","-0,21","0,11","0,02",MCD,MCD,MCD,MCD,MCD,,,ALTO,VENTA PARCIAL
Costco Wholesale Corporation,COST,US,Retail,,"465.095,00","461.398,00","1.032,27","0,09","0,14","0,12","0,03","0,02","0,63","0,02","0,48","0,29","0,25","0,17","-0,3",36,33,"-0,31","0,22","0,04","0,03","0,36","0,00","0,34","0,15","0,10","0,22","-0,5",56,52,"-0,05","0,07","0,10","0,13","0,04","0,03","-0,5",40,40,"868,00","-0,41","-0,16","-0,03","1.150,00","-0,22","0,11","0,02",COST,COST,COST,COST,,,COST,ALTO,VENTA PARCIAL
The Procter & Gamble Company,PG,US,Consumer Staple,,"412.576,68","438.096,68","174,89","0,04","0,08","0,03","0,22","0,19","0,03","0,05","0,60","0,50","0,09","0,16","1,1",22,22,"-0,24","0,08","0,25","0,20","0,02","0,00","0,54","0,29","0,14","0,20",1,25,25,"-0,02","0,03","0,04","0,03","0,25","0,21","1,1",22,22,"162,00","-0,23","-0,07","-0,01","180,00","-0,15","0,03","0,01",PG,PG,PG,PG,,,,ALTO,VENTA PARCIAL
Hermès International Société en commandite par actions,RMS,FR,Luxury Goods,,"302.059,34","291.847,14","2.903,59","0,13","0,19","0,18","0,37","0,25","0,02","0,03","0,34","0,06","0,07","0,36","-1,5",41,42,"-0,41","0,23","0,42","0,26","0,05","0,12","0,71","0,04","0,08","0,40","-1,4",62,59,"-0,08","0,10","0,13","0,14","0,42","0,30","-1,7",40,40,"3.114,07","-0,31","0,08","0,01","3.114,07","-0,31","0,08","0,01",RMS,RMS,RMS,RMS,,,RMS,ALTO,VENTA PARCIAL
Walmart Inc,WMT,US,Retail,,"736.288,18","794.578,18","94,80","0,04","0,07","0,04","0,04","0,03","0,16","0,13","0,38","0,40","0,15","0,12",1,22,19,"-0,25","0,14","0,04","0,02","0,62","0,11","0,40","0,27","0,06","0,15","0,7",33,38,"-0,12","0,05","0,07","0,14","0,05","0,03","0,8",25,25,"78,00","-0,49","-0,18","-0,04","99,00","-0,35","0,05","0,01",,,,,,,,ALTO,VENTA PARCIAL
The Coca Cola Company,KO,US,Consumer Staple,Beverage Industry,"307.220,46","340.822,46","70,41","0,01","0,13","0,13","0,28","0,21","0,05","0,30","0,90","0,28","0,09","0,14","2,3",23,23,"-0,37","0,06","0,30","0,23","0,09","0,03","0,77","0,17","0,00","0,17",2,26,30,"-0,02","0,04","0,04","0,05","0,32","0,24","2,1",25,25,"65,00","-0,27","-0,08","-0,02","72,00","-0,20","0,02","0,00",KO,KO,KO,KO,,,,ALTO,VENTA PARCIAL
Citigroup Inc,C,US,Financial,Consumer Bank,"133.006,57",,"71,81","0,01","0,06",,"0,30",,,,,,,"0,06","9,2",9,"0,7","-0,48","0,03","0,24",,,,,,,"0,06","10,2",9,"0,7","-0,19","0,01","0,04",,"0,27",,,9,"0,7","63,00","-0,03","-0,03","-0,02","71,00","-0,14","0,00","0,00",,,,,,,,ALTO,VENTA PARCIAL
The Home Depot Inc,HD,US,Retail,Consumer Discretionary,"374.299,00","434.930,00","383,50","0,07","0,13","0,06","0,14","0,09","0,01","0,27","0,53","0,65","0,00","0,33","1,5",21,19,"-0,35","0,13","0,14","0,06","0,02","1,80","0,92","0,07","0,00","0,24",2,23,19,"-0,13","0,04","0,07","0,16","0,14","0,10","1,5",20,20,"360,00","-0,26","-0,06","-0,01","360,00","-0,26","-0,06","-0,01",,,,,,HD,,EXTREMO,VENTA TOTAL
Air Lease Corporation,AL,US,Financial,Leasing,"5.156,70","24.894,20","46,43","0,10","0,10",,"0,29",,,,,,,"0,09","3,1",7,"0,7","-0,40","0,04","0,20",,,,,,,"0,06","3,30",11,"0,8","-0,13","0,07","0,09",,"0,23",,,7,"0,6","31,00","-0,18","-0,07","-0,08","40,00","-0,13","-0,03","-0,03",,,,,,,,EXTREMO,VENTA TOTAL
Palantir Technologies Inc,PLTR,US,Technology,Data Analytics,"211.386,98","206.487,35","87,64","0,30","0,29","0,12","0,44","-0,47","0,00","0,00","0,00","0,40","0,00","-0,40","-1,3",60,65,"-0,84","0,64","0,11","0,12","0,00","0,00","0,00","0,80","0,00","0,14","-15,3",376,367,"-0,33","0,31","0,20","0,36","0,15","0,14",-5,70,70,"17,00","-0,90","-0,80","-0,28","41,00","-0,79","-0,54","-0,14",,,,PLTR,,,PLTR,EXTREMO,VENTA TOTAL
Tesla Inc,TSLA,US,Technology,Electric Vehicles,"897.729,91","875.556,91","272,09","0,45","0,80","0,50","0,01","0,02","0,41","0,05","0,00","0,00","0,35","0,03","0,7",80,90,"-0,73","0,35","0,08","0,06","0,98","0,00","0,00","0,00","0,00","0,09","-2,2",110,1026,"-0,43","0,15","0,23","0,20","0,11","0,06","-1,8",30,30,"103,00","-0,96","-0,71","-0,22","146,00","-0,96","-0,56","-0,16",TSLA,,,TSLA,,,,EXTREMO,VENTA TOTAL
MicroStrategy Incorporated,MSTR,US,Technology,Enterprise Software,"80.311,32","87.531,67","298,10","-0,01","-0,63","-1,34","-0,77","-0,51","0,01","0,00","0,00","-0,67","0,08","-0,05",-6,88,31,"-0,89","0,23","-4,00","-2,46","0,00","0,00","0,00","0,00","0,00","-0,10","-3,9",-92,-106,"-0,36","-0,01","-0,13","-0,07","-0,77","-1,41",-3,1,1,"-40,00","-1,16","-1,14","-1,67","-40,00","-1,16","-1,14","-1,67",,,,,,,,EXTREMO,VENTA TOTAL
SP500,,,,,,,,,,,,,,,,,,,,,,"-0,34","0,10",,,,,,,,,,,,"-0,07",,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ100,,,,,,,,,,,,,,,,,,,,,,"-0,37","0,16",,,,,,,,,,,,"-0,09",,,,,,,,,,,,,,,,,,,,,,,,,